Parent Company,Short name parent,Short name operating,Operating Company,Company Name,2019 Coal,2019 Gas,2019 Coal + Gas,2019 Coal + Gas (MW),2020-2030 Clean,Clean vs. fossil score,Solar capacity,Wind capacity,Coal retirements (million MWh),Percentage of coal committed to retire,Planned Gas by 2030 (MW),Score,Clean energy data source,Energy efficiency - residential customers,Energy efficiency - commercial customers,Energy efficiency - industrial customers,Sales - residential,Sales - commercial,Sales - industrial,Letter Grade,Full Climate Goal (only one per parent)
Algonquin Power & Utilities Corp.,Empire,Empire,Empire District Electric Company,Empire District Electric, 2.2 , 3.0 , 5.1 ," 1,473.3 ", 2.0 ,40%, 149 , 600 , 0.8 ,39%, -   ,39%,2019 IRP," 1,495 "," 4,149 "," 1,679 "," 1,912,240 "," 1,720,678 "," 1,147,650 ", C ,"Reduce CO2 equivalent emissions by one million metric tons from 2017 levels and add 2,000 MW of new renewables capacity by 2023."
Alliant Energy Corporation,Alliant,Alliant-IA,Interstate Power and Light Company,Interstate Power and Light (Alliant), 4.4 , 6.4 , 10.8 ," 2,838.3 ", 1.2 ,11%, 400 , 130 , 1.6 ,37%, 276.6 ,19%,Company announcement," 45,810 "," 57,144 "," 70,175 "," 3,612,719 "," 4,144,262 "," 6,420,191 ", D ,Reduce carbon emissions 50% by 2030 (2005 baseline); aspirational goal of net-zero emissions by 2050.
Alliant Energy Corporation,Alliant,Alliant-WI,Wisconsin Power and Light Company,Wisconsin Power and Light (Alliant), 4.2 , 4.7 , 8.9 ," 2,671.2 ", 2.3 ,26%," 1,000 ", 150 , 1.4 ,34%, -   ,30%,Company announcement, -   , -   , -   ," 3,593,958 "," 2,395,038 "," 5,028,013 ", D ,Reduce carbon emissions 50% by 2030 (2005 baseline); aspirational goal of net-zero emissions by 2050.
Ameren Corporation,Ameren,Ameren,Union Electric Company,Ameren Missouri, 24.1 , 0.2 , 24.2 ," 8,669.0 ", 7.2 ,30%," 2,400 ", 957 , 4.4 ,18%, -   ,24%,2017 IRP; company announcement," 172,783 "," 178,925 "," 38,998 "," 13,517,817 "," 14,337,959 "," 4,241,170 ", D ,Reduce carbon emissions 50% by 2030 and 85% by 2040 (2005 baseline); net-zero by 2050.
"American Electric Power Company, Inc.",AEP,Appalachian,Appalachian Power Company,Appalachian Power, 19.8 , 5.2 , 25.0 ," 6,153.4 ", 3.3 ,13%, 710 , 600 , -   ,0%, -   ,7%,Virginia Clean Economy Act; 2015 IRP (WV)," 26,093 "," 39,622 "," 7,554 "," 11,253,415 "," 7,221,444 "," 9,546,235 ", F ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
"American Electric Power Company, Inc.",AEP,I&M,Indiana Michigan Power Company,Indiana Michigan Power, 5.0 , -   , 5.0 ," 1,471.8 ", 5.0 ,101%," 1,300 ", 750 , 2.0 ,40%, 770.0 ,44%,"2018-19 IRP, 2019 EEI presentation"," 69,908 "," 97,520 ", -   ," 5,408,646 "," 4,753,733 "," 7,589,142 ", C ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
"American Electric Power Company, Inc.",AEP,Kentucky Power,Kentucky Power Company,Kentucky Power, 2.5 , 1.1 , 3.6 ," 1,040.0 ", 1.1 ,31%, 273 , 200 , -   ,0%, -   ,16%,"2019 IRP, 2019 EEI presentation", 243 , -   , -   ," 2,051,369 "," 1,261,107 "," 2,319,294 ", F ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
"American Electric Power Company, Inc.",AEP,Ohio Power,Ohio Power Company,Ohio Power, 2.2 , -   , 2.2 , 436.2 , -   ,0%, -   , -   , -   ,0%, -   ,0%,2019 EEI presentation," 267,939 "," 176,406 "," 116,427 "," 14,410,513 "," 14,713,327 "," 14,397,981 ", F ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
"American Electric Power Company, Inc.",AEP,PSO,Public Service Company of Oklahoma,Public Service Company of Oklahoma, 2.7 , 6.5 , 9.2 ," 3,991.5 ", 6.9 ,74%," 1,211 "," 1,275 ", 2.7 ,100%, -   ,87%,"Company announcement, 2019 EEI presentation"," 74,054 "," 59,299 ", -   ," 6,272,704 "," 6,126,581 "," 6,156,270 ", A ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
"American Electric Power Company, Inc.",AEP,SWEPCO,Southwestern Electric Power Company,SWEPCO, 11.8 , 3.6 , 15.4 ," 5,333.7 ", 5.4 ,35%, 300 ," 1,410 ", 7.7 ,65%, -   ,50%,"2018 IRP, company announcement, 2019 EEI presentation"," 26,681 "," 34,803 "," 1,795 "," 6,302,799 "," 5,855,597 "," 5,337,665 ", B ,Reduce carbon emissions 70% by 2030 and 80% by 2050 (2000 baseline); aspirational goal of eventual net-zero emissions.
